_id,ApprovedSubmissionValue
0f60e983-7989-4abe-a43d-0d5145a3144b,81501
0f6649a0-a68b-4dfe-ac34-1008eb82b166,1403-2-30
816904e8-94e1-474f-b05f-b7e2ee2fe5d9,7802
7064d4be-6b7d-4cfc-ab38-65c44795f284,1378-10-19
019d25e0-1cf8-4928-bcaa-e363577d629c,لأمين
8042d52a-0ca3-4291-ba9f-5e90f111567e,2351
c77ae4f3-6144-4dc9-89c6-66052ca5b2ed,911
ac1005d3-4093-4d9d-8b8b-bd958f4d65d8,ستمائة وخمسة وعشرون
103373e8-ecb6-46f3-8689-274e5c5af874,8/502
8de2aaea-4846-44fa-afe3-ba5b1e6aba7c,1403-2-30
c506ccf8-e688-47eb-a0f3-17c4f37957d8,مزنه الصالح المرشد
2f85ee1c-f6ac-4e6f-9470-b10117652370,لأمين
f2908b5d-863e-4119-ade3-fec8e34e1714,2351
df03c5d3-31ec-4719-b3c1-c9db83419737,1109
a6fc213c-6a4d-43bd-b26a-4cc987ce752e,خمسمائة مترا
9656ef66-d2c3-43dd-b53c-5a546012588b,1415-5-3
27abde92-2e2e-4862-b23d-4aa73a6f1d54,10284
6be7f1e3-c636-49c0-aa24-f85dfe09433d,1415-0-0
7838a8f3-e233-459c-877c-b50d4c39f08c,20279
6a981bb3-d190-48eb-98e1-db2fe5179669,1411-1-21
356ee315-e747-4a6a-9ac7-0b8aedc5c6fb,503
6d63ca12-38fd-4b70-a7b7-3832a44d2b7e,7253/37605
aafbd777-b285-4470-9db9-0c3288883b59,1381-7-15
1c792dee-d88c-492e-bf8a-82d3d8d819af,لأمين
507afe10-8c43-4d70-9f86-d07bbed69fe4,2351
685fc7df-b54c-4d71-8b1d-227d1d19f81b,1297
0432d2cd-7bf5-42c4-a3a9-b94d76caba96,اربعمائه مترا
3dd7724c-4691-458c-b70d-46bfaf36d056,1403-6-29
851583ba-b12a-418d-9ba9-9074848473d1,1455
fdf09e10-208a-4ec3-8380-f5a3b4533a50,1403-0-0
3018ebc8-7543-40e6-81a8-760a8044c1dd,164102
5b3f2df3-3574-4288-a6cf-e0bdc4ec1be2,1403-6-22
81792b6e-f849-431e-9130-8cf3026cd54d,1418-5-1
9ee7e1cf-7cf9-479b-92d5-83b50f0d3744,975
e705c04d-ab61-4438-a65a-6ba6b05b0aa5,1418-0-0
af7d0faa-4cb6-47c9-a7ad-add830658916,12402
020b049f-e38d-495b-a0c4-3d46492f7adc,1404-8-26
2fbe9343-6cf9-4d84-85fc-3b876434e57d,1418-5-13
0f0eb89e-7dc3-4eaa-947f-b5b17b2e167f,1110
9c024848-16fe-4e3a-896a-d0e2d6ed095e,1418-0-0
8007502b-d794-4f19-a68f-f9cb1ec07d59,411101
7820a9e7-d210-4c6a-8cc5-9fe4f8153210,1407-2-12
d1c09f84-798d-4dba-b4a0-84d7f0bbb3ab,8/504
245186bb-4220-4677-93b8-361a2449c265,1403-2-30
81453369-5d01-4b05-aae2-7f38ea922f3b,137388
5b3963c9-2fdd-4c7b-aff8-b66e37e45171,1399-3-7
d75186c7-e841-4b3a-b69e-06218a71dce8,لأمين
100c1571-7b74-402b-a7ea-3c1d17fdcbb3,2351
0849992c-0084-48eb-9b2b-9b9d0fb19ba6,358
b1525b51-c8e2-4ecf-9866-1776f42652f8,سبعمائة وخمسين متر
73a3151b-fc31-4101-891f-11ef20181bc7,0-9-17
c78192ca-db8f-46ca-aeb1-77cd8b10efbe,1411-1-21
9e722080-3a46-4f72-804b-8dccab3d3f4b,316
cc588d74-2d1a-43c4-9df5-b7d21db06605,1411-0-0
d6b90fa6-baf6-43e5-b788-9f722020d28a,1498/9405
39ea9e84-9b10-4629-970d-ce5ed3abb165,1484-1-26
efedaffc-33af-4b78-8d56-5bb544d7192a,1412-12-20
ea25b082-63db-4c71-bb92-380f364c3ed5,435
88f07d8f-8e11-47e4-bb8e-e4aa89a07f5e,84161
4bb43f51-ab3d-4eab-b3d3-fcb876eee9d3,1385-10-15
34a3af09-1cd2-4101-922b-8b2ec59de247,1414-1-14
8159e303-4b0f-4126-8329-622ff9ab7f56,310
98ba87a5-5f13-494c-80e0-d09cba33824a,1414-0-0
f88baa53-68d3-4cc4-bb3e-e8936fbe35e1,43504
a989af01-de24-4ba0-abe5-ff515b8c0925,1392-9-25
389dbfc3-3fbe-4ab9-858f-aa5db78803e0,8/505
66e4545a-dc35-42d1-9c8d-52cbc2e2f982,1403-2-30
f0520f07-373f-4218-8c4c-f49b9f2899f3,137388
315147a9-e96f-4a4e-a317-f87f1eb2ef20,1399-3-7
55a1e93d-8e31-4ba8-b9be-7a254e38d327,لامين
59764433-e314-46a1-814b-26e39d34e785,2351
fa1d5d22-c9bb-45c9-824d-0e8ca71102af,273
bcde7881-a38c-4310-a9c4-cb48080aca3e,سبعمائة وخمسين
fcd6d9ed-9d1f-4a0f-beff-1c1d3f02e9c6,1411-1-29
5288ff65-c87d-4b1e-ab80-579dc8722370,295
d79b1e9d-98ff-4608-a810-4edc0b6c2138,1498/9405
614b8536-720c-449d-91fb-cfac4345fafa,84-1-26
caeed212-2fdc-4d06-9d8b-e5ae685f74e9,1412-12-20
80e1135e-df72-4aee-8f5c-098f3af366e2,436
b3c9f481-305d-4888-a028-a5c3b6ce4fa7,84161
28391f40-9127-4023-8a4f-94b95e73556c,1385-10-15
74784626-e1a8-428a-9b3d-a811a342d0ab,1414-1-1
6eadea08-4d78-4204-9c5e-7e9f42b1b643,309
d2ec0b19-a53f-48ca-a931-21d54a1eeff4,1414-0-0
17502e51-59f0-4c8e-978d-368fcd631c89,43504
4402fa38-4c42-487b-afdb-6747a32ca8f9,1392-9-25
7ecb554a-d1a0-4bab-8a99-96f6ca4a193d,8/506
1c0c63b9-54e9-40b7-a1a2-fc81ec539bf5,1403-2-30
d50b41fd-8dad-4c24-9243-3e72c1374d7c,115776
0a801f30-fab7-44b7-8d87-b7b737e60a45,1394-7-1
b3b83f92-0cc9-4850-b601-2149f6cf4fec,لأمين
c158cd56-2025-4a70-9e6a-06b5ade52f74,2351
963b8f8e-bb96-4794-88c9-1994691dbf96,70
e6fb4564-1a2f-4983-bdeb-22a76066d2e7,تسعمائه
2b16bee7-8303-4593-8f41-39d1970f667f,0-1-10
853e9d17-0339-4b5f-a601-0b854e1e0050,1408-3-16
ccd70598-fc35-4bd6-a4b4-a72d4dce17c0,273
7ee36a4d-0dd0-400d-a377-11fcef537ef1,1408-3-16
0fc75810-6171-4a86-ba1e-85440bde4c30,9638
7e737d7d-dcde-4ac4-b19a-58bcd0c93d98,1400-2-5
9b34c091-f600-495a-af59-3e5530a1665e,1409-2-28
5b0e9c9a-a499-4851-977a-c470267b0395,629
d6dbe207-e9ca-4b42-9b9e-c24a8b1d71e7,2713
c0ea0d5d-1804-453f-bc0a-8fc901df4e30,0-0-21
57fc0483-e303-45b7-b558-bec6602127ef,1409-3-1
36d87424-494b-4268-9cdf-6cda8adebb8d,72
07104aae-b699-4921-852b-ba54beddfccc,3457
448d4e3d-6141-4d99-b815-72f9cc05c196,0-7-9
bbc44ce9-a3fe-489a-bf2c-30ac6417f287,1410-2-27
9261da31-4a0c-4e78-bc91-ee65009462c5,109145
74c9177f-1485-46df-804f-f7ebdddf36eb,1392-7-10
79021d02-7968-492b-ad21-2782a8a72e31,1412-3-20
ff56920b-08a0-4042-93f0-74c7ec1f479f,992
3d17cd9e-a8b8-4f70-a521-845410451bd2,0-4-2
b6c83409-b19f-4072-bacd-575cde95e764,6500
347d55a4-9c48-4189-a0ee-742f23bfc001,1382-3-15
40482c72-63c1-451b-8b48-2baa279109e7,1413-2-11
1a49b509-2ff2-482d-9e67-b0aa8c7232c3,372
139f0a02-6147-423c-a41d-4a6713dfa684,1413-0-0
dacca778-348d-4a42-92ef-11fba3b72a5d,529/1491
daffa83e-6add-4387-98bd-dcad4bf1a576,1388-11-14
cf1ae117-cb03-4dc1-9f1e-02c94fc8af2f,8/507
b300b664-3223-414e-89c1-5589f13128dc,1403-2-30
99a6fced-a92a-40f3-9466-049f331d3382,1946
79d30045-d0d9-4a5b-8c26-b8ad4d2425f5,1399-12-27
a1732773-72ea-4114-bbdd-f63824e2ea63,الامين
261f47af-a80d-4d46-9291-a63770e1e8fd,2351
75419c8b-2547-44ad-9a9c-4cbbd5a5679b,1029
0c7a2a65-5fc2-4d03-bb44-249b80600acf,اربعمائه متراً
01a1f36a-fe15-4526-b3b0-d70a1fe1e3d2,8/508
eeab78fc-2040-4b23-ae94-3a4b2ad3bb26,1403-2-30
e5e19f1e-ef0f-47bd-98e2-ea7617b87764,5711
87891b86-405e-4458-b633-3bda37cb3a5e,1396-3-9
dfdd5e48-ac2c-4ef1-9744-a3032ac06997,لأمين
b05192f9-77c2-4864-b278-68fedd6c08b2,2351
200166af-3306-4d4c-9a00-e9e2e321f504,926
bb200b1a-7e9e-4306-8f98-fd1f10e72467,اربعمائه
cea76433-8377-484a-bddc-8b0490340db4,1403-6-7
ad1937fd-d989-495e-87d1-4eb3fae22e57,4212/196
5e906089-297c-476e-aa5a-8a8e90db9078,1390-4-11
88cda76e-4133-4c9f-9852-c2159a97cf5f,1403-6-23
a4cb8d0f-cdc6-4b68-89d4-5d299a25b6fc,2454
5f3c1d77-26e5-46f6-94d8-7d768d5da09b,1403-0-0
29f47dac-e696-44da-967e-f97a5163c1f8,35771/5409
718a5246-3f61-4163-9af6-085e5fbcee9c,1381-5-28
986d1e5d-1b93-4b17-8a87-39c788979702,1404-6-16
949d7f0e-ce67-4397-bb11-4813ea048406,49643
22945024-659f-4d4e-9cef-403db855cf04,1402-8-24
